ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist,Title
[Film155678],Happy Hour,354759,/vocqarMfsL4TtyDqf9eMD8FdqnR.jpg,2015-12-12,317,Drama,ja,"Sachie Tanaka,Hazuki Kikuchi,Maiko Mihara,Rira Kawamura,Hiromi Demura",Ryusuke Hamaguchi,"Hideyuki Okamoto,Tadashi Nohara,Satoshi Takata","Tomoyuki Takahashi,Ryusuke Hamaguchi,Tadashi Nohara",,,Yoshio Kitagawa,Umitaro Abe,,,,,Happy Hour
[Film179100],First Reformed,458737,/p2UylV0hPefEuWPFMo1r56vu2nb.jpg,2017-09-02,113,Drama,en,"Ethan Hawke,Amanda Seyfried,Cedric the Entertainer,Victoria Hill,Philip Ettinger",Paul Schrader,"Christine Vachon,Jack Binder,Victoria Hill,Gary Hamilton,Frank Murray,Deepak Sikka,David Hinojosa,Greg Clark",,Ruy García,Ben Rodriguez Jr.,Alexander Dynan,Brian Williams,Raphael Sorcio,Grace Yun,Olga Mill,,First Reformed
[Film135331],Toni Erdmann,374475,/rDiSyVUxXnk0IiALGMWni2UJZSb.jpg,2016-07-14,162,"Comedy,Drama",de,"Sandra Hüller,Peter Simonischek,Michael Wittenborn,Thomas Loibl,Trystan Pütter",Maren Ade,"Janine Jackowski,Maren Ade,Jonas Dornbach,Michel Merkt",,,Heike Parplies,Patrick Orth,,Malina Ionescu,Silke Fischer,Gitti Fuchs,"Monika Münnich,Wiltrud Derschmidt",Toni Erdmann
[Film115052],Winter Sleep,265169,/c4OKvnYOHlKdMvLh8DhoabtAwnR.jpg,2014-06-13,196,Drama,tr,"Haluk Bilginer,Melisa Sözen,Demet Akbağ,Ayberk Pekcan",Nuri Bilge Ceylan,"Zeynep Ozbatur Atakan,Muzaffer Yıldırım","Nuri Bilge Ceylan,Ebru Ceylan",,"Nuri Bilge Ceylan,Bora Göksingöl",Gökhan Tiryaki,,Gamze Kus,,,"Monika Münnich,Anke Thot",Winter Sleep
[Film140146],Horse Money,285697,/ycvnKivsX5raJX1zEcg5jubbz2g.jpg,2014-08-13,104,Drama,pt,"Ventura,Vitalina Varela,Tito Furtado,Antonio Santos,Gustavo Sumpta",Pedro Costa,,Pedro Costa,"Hugo Leitão,Branko Neškov,Vasco Pedroso,Ève Corrêa-Guedes,Olivier Blanc",João Dias,Leonardo Simões,,,,,,Horse Money
[Film42538],The Social Network,37799,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,2010-10-01,121,Drama,en,"Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Armie Hammer,Max Minghella",David Fincher,"Scott Rudin,Michael De Luca,Ceán Chaffin,Dana Brunetti",,,"Angus Wall,Kirk Baxter",Jeff Cronenweth,"Trent Reznor,Atticus Ross","Keith P. Cunningham,Curt Beech","Donald Graham Burt,David E. Scott",Jacqueline West,"Ann Pala,Alex Proctor",The Social Network
[Film116127],Interstellar,157336,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014-11-05,169,"Adventure,Drama,Science Fiction",en,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,Ellen Burstyn,John Lithgow",Christopher Nolan,"Christopher Nolan,Emma Thomas,Lynda Obst","Christopher Nolan,Jonathan Nolan",,Lee Smith,Hoyte van Hoytema,Hans Zimmer,"David F. Klassen,Gary Kosko,Eric Sundahl,Eggert Ketilsson,Kendelle Elliott,Josh Lusby,Agata Maliauka",Nathan Crowley,Mary Zophres,"Jay Wejebe,Pearl Louie,Kentaro Yano,Tammy Fox",Interstellar
[Film23847],Inception,27205,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,2010-07-15,148,"Action,Science Fiction,Adventure",en,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ken Watanabe,Tom Hardy,Elliot Page",Christopher Nolan,"Christopher Nolan,Emma Thomas,Kanjirô Sakura,Yoshikuni Taki",Christopher Nolan,Richard King,Lee Smith,Wally Pfister,Hans Zimmer,"Luke Freeborn,Andy Thomson,Jason Knox-Johnston,Dean Wolcott,Paul Laugier,Bill Ives",Guy Hendrix Dyas,Jeffrey Kurland,"Aya Yabuuchi,Sian Grigg,Sonia Akouz,Maggie Elliott",Inception
[Film73378],Inherent Vice,171274,/7XhdTcivvkNcdAXrEijgh0Eoabb.jpg,2014-12-12,149,"Drama,Mystery,Comedy",en,"Joaquin Phoenix,Josh Brolin,Owen Wilson,Katherine Waterston,Reese Witherspoon",Paul Thomas Anderson,"Paul Thomas Anderson,Daniel Lupi,JoAnne Sellar",Paul Thomas Anderson,Christopher Scarabosio,Leslie Jones,Robert Elswit,Jonny Greenwood,Ruth de Jong,David Crank,Mark Bridges,,Inherent Vice
[Film106194],Frances Ha,121986,/paHlEvMz4rqzMsqxSbMOBn4HtM3.jpg,2013-05-17,86,"Comedy,Drama",en,"Greta Gerwig,Mickey Sumner,Michael Esper,Adam Driver,Michael Zegen",Noah Baumbach,"Scott Rudin,Noah Baumbach,Lila Yacoub,Rodrigo Teixeira","Noah Baumbach,Greta Gerwig",,Jennifer Lame,Sam Levy,,,Sam Lisenco,,,Frances Ha
[Film133073],Whiplash,244786,/oPxnRhyAIzJKGUEdSiwTJQBa3NM.jpg,2014-10-10,107,"Drama,Music",en,"Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Austin Stowell",Damien Chazelle,"David Lancaster,Michel Litvak,Jason Blum,Helen Estabrook",,,Tom Cross,Sharone Meir,Justin Hurwitz,Hunter Brown,Melanie Jones,Lisa Norcia,Heather Plott,Whiplash
[Film168908],Get Out,419430,/tFXcEccSQMf3lfhfXKSU9iRBpa3.jpg,2017-02-24,104,"Mystery,Thriller,Horror",en,"Daniel Kaluuya,Allison Williams,Catherine Keener,Bradley Whitford,Caleb Landry Jones",Jordan Peele,"Sean McKittrick,Jason Blum,Jordan Peele,Edward H. Hamm Jr. 	",Jordan Peele,Trevor Gates,Gregory Plotkin,"Denson Baker,Toby Oliver",Michael Abels,Chris Craine,Rusty Smith,Nadine Haders,"Joe Savva,Lindsey Interrante",Get Out
[Film67652],The Irishman,398978,/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg,2019-11-01,209,"Crime,Drama,History",en,"Robert De Niro,Al Pacino,Joe Pesci,Stephen Graham,Ray Romano",Martin Scorsese,"Robert De Niro,Martin Scorsese,Jane Rosenthal,Irwin Winkler,Randall Emmett,Emma Tillinger Koskoff,Troy Allen,Gastón Pavlovich,Gerald Chamales,Gabriele Israilovici",,,Thelma Schoonmaker,Rodrigo Prieto,Robbie Robertson,,Bob Shaw,,,The Irishman
